website,loc,lastmod,cured_name,type
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/10/t-sql-tuesday-124-turning-query-store-on-everywhere/,2020-03-10,t sql tuesday 124 turning query store on everywhere,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/15/everybody-has-different-levels-of-stress/,2020-03-15,everybody has different levels of stress,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/17/recommended-azure-sql-database-learning-resources/,2020-03-17,recommended azure sql database learning resources,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/30/first-online-party-with-friends-experience/,2020-03-30,first online party with friends experience,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/01/interesting-azure-devops-extension-workaround/,2020-04-01,interesting azure devops extension workaround,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/09/data-community-weekender-europe-call-for-speakers/,2020-04-09,data community weekender europe call for speakers,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/13/data-community-weekender-europe-updates/,2020-04-13,data community weekender europe updates,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/14/t-sql-tuesday-125-unit-testing-database-changes/,2020-04-14,t sql tuesday 125 unit testing database changes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/22/schedule-for-data-community-weekender-europe-now-live/,2020-04-22,schedule for data community weekender europe now live,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/25/online-events-are-important-right-now/,2020-04-25,online events are important right now,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/06/some-things-other-than-a-dataweekender-review/,2020-05-06,some things other than a dataweekender review,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/12/t-sql-tuesday-126-organizing-dataweekender/,2020-05-12,t sql tuesday 126 organizing dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/20/ten-comments-i-think-every-sql-server-dba-wants-to-say/,2020-05-20,ten comments i think every sql server dba wants to say,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/27/azure-devops-retrospective-extension-is-staying/,2020-05-27,azure devops retrospective extension is staying,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/22/thoughts-about-sql-server-index-fragmentation-recommendations/,2020-06-23,thoughts about sql server index fragmentation recommendations,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/06/providing-feedback-to-microsoft-can-work/,2020-07-06,providing feedback to microsoft can work,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/13/loving-microsoft-teams-right-now/,2020-07-13,loving microsoft teams right now,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/21/july-2020-azure-data-studio-update/,2020-07-21,july 2020 azure data studio update,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/27/issues-if-renaming-your-main-git-branch-in-azure-devops/,2020-07-27,issues if renaming your main git branch in azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/03/dataweekender-call-for-attendees/,2020-08-03,dataweekender call for attendees,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/10/thoughts-about-sqlbits-going-virtual/,2020-08-10,thoughts about sqlbits going virtual,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/11/t-sql-tuesday-129-sql-community-time-capsule/,2020-08-11,t sql tuesday 129 sql community time capsule,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/17/dataweekender-is-an-inclusive-event/,2020-08-17,dataweekender is an inclusive event,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/19/looking-at-the-bigger-picture/,2020-08-19,looking at the bigger picture,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/02/tips-about-creating-database-projects-in-azure-data-studio/,2020-09-02,tips about creating database projects in azure data studio,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/10/organize-data-platform-presentations-using-azure-devops/,2020-09-10,organize data platform presentations using azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/16/update-both-a-sql-server-2019-database-and-an-azure-sql-database-with-one-commit/,2020-09-16,update both a sql server 2019 database and an azure sql database with one commit,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/30/you-can-set-default-branch-name-for-new-repositories-in-azure-devops/,2020-09-30,you can set default branch name for new repositories in azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/08/what-is-new-for-the-next-dataweekender/,2020-10-11,what is new for the next dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/15/dataweekenders-unique-formula/,2020-10-15,dataweekenders unique formula,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/19/initial-thoughts-about-second-dataweekender/,2020-10-20,initial thoughts about second dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/21/deploying-to-many-versions-of-sql-server-databases-using-one-commit/,2020-10-21,deploying to many versions of sql server databases using one commit,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/04/sharing-personal-azure-devops-organizations-to-test-sql-server-deployments/,2020-11-04,sharing personal azure devops organizations to test sql server deployments,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/12/sql-server-product-owner-tips-to-make-the-most-of-microsoft-teams/,2020-11-12,sql server product owner tips to make the most of microsoft teams,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/12/08/t-sql-tuesday-133-learning-new-things-by-building-demos/,2020-12-08,t sql tuesday 133 learning new things by building demos,blog
